"entity","device","lat_lng"
"VDC","VDC29728","13.6004316666666689 , 100.332235000000011"
"VDC","VDC29731","13.8976283333333335 , 100.681314999999998"
"VDC","VDC29746","13.818014999999999 , 100.591368333333321"
"VDC","VDC29748","0 , 0"
"VDC","VDC29751","16.0431516666666667 , 103.113001666666662"
"VDC","VDC29757","0 , 0"
"VDC","VDC29760","0 , 0"
"VDC","VDC29773","0 , 0"
"VDC","VDC29808","0 , 0"
"VDC","VDC29812","0 , 0"
"VDC","VDC29840","6.43228666666666626 , 101.819001666666679"
"VDC","VDC29841","0 , 0"
"VDC","VDC29856","6.85437666666666701 , 101.252553333333339"
"VDC","VDC29883","14.889406666666666 , 100.411433333333335"
"VDC","VDC30362","0 , 0"
"VDC","VDC30370","16.4369800000000019 , 101.143798333333322"
"VDC","VDC30376","0 , 0"
"VDC","VDC30378","16.797625 , 101.329653333333354"
"VDC","VDC30383","16.7866500000000016 , 101.248209999999986"
"VDC","VDC30510","0 , 0"
"VDC","VDC30514","0 , 0"
"VDC","VDC30557","17.2768583333333332 , 102.682879999999997"
"VDC","VDC30565","17.3609799999999979 , 104.78976333333334"
"VDC","VDC30589","0 , 0"
"VDC","VDC30617","8.70231000000000066 , 99.9289799999999815"
"VDC","VDC30623","19.7407799999999973 , 100.174979999999991"
"VDC","VDC30627","8.51221333333333341 , 99.8918216666666581"
"VDC","VDC30631","8.45127333333333475 , 99.9177666666666795"
"VDC","VDC30765","0 , 0"
"VDC","VDC30928","14.926873333333333 , 101.78543333333333"
"VDC","VDC30991","16.3336183333333338 , 103.495748333333324"
"VDC","VDC31058","0 , 0"
"VDC","VDC31085","0 , 0"
"VDC","VDC31087","0 , 0"
"VDC","VDC31122","0 , 0"
"VDC","VDC31341","18.2623316666666682 , 103.978871666666663"
"VDC","VDC31464","0 , 0"
"VDC","VDC31483","0 , 0"
"VDC","VDC31487","0 , 0"
"VDC","VDC31554","14.9936566666666682 , 100.339455000000001"
"VDC","VDC31680","14.7495949999999993 , 101.069046666666665"
"VDC","VDC31799","13.7783350000000002 , 100.480138333333343"
"VDC","VDC31808","14.507906666666667 , 101.749633333333321"
"VDC","VDC31843","15.0473700000000008 , 102.184950000000001"
"VDC","VDC31851","17.0780433333333335 , 104.58049166666666"
"VDC","VDC31955","13.8345800000000008 , 100.861985000000004"
"VDC","VDC31968","13.4924533333333336 , 99.9729266666666518"
"VDC","VDC32021","0 , 0"
"VDC","VDC32041","6.4306666666666672 , 101.798074999999997"
"VDC","VDC32134","0 , 0"
"VDC","VDC32135","0 , 0"
"VDC","VDC32138","19.1456466666666678 , 99.6166833333333415"
"VDC","VDC32139","17.9829149999999984 , 100.05300166666666"
"VDC","VDC32140","0 , 0"
"VDC","VDC32143","0 , 0"
"VDC","VDC32147","15.8184199999999997 , 100.081545000000006"
"VDC","VDC32150","19.736693333333335 , 100.202361666666675"
"VDC","VDC32153","14.1513033333333329 , 100.617646666666673"
"VDC","VDC32154","0 , 0"
"VDC","VDC32158","0 , 0"
"VDC","VDC32160","15.6407116666666681 , 100.227998333333318"
"VDC","VDC32165","14.2466300000000015 , 100.701855000000009"
"VDC","VDC32167","14.7839083333333328 , 100.649698333333347"
"VDC","VDC32205","-2.71778666666666702 , 99.7198116666666721"
"VDC","VDC32206","13.5718316666666663 , 99.7776533333333333"
"VDC","VDC32207","0 , 0"
"VDC","VDC32209","20.0324899999999992 , 99.8788433333333501"
"VDC","VDC32219","8.1087750000000014 , 98.3085583333333233"
"VDC","VDC32220","14.6366200000000006 , 101.130460000000014"
"VDC","VDC32224","7.79666000000000103 , 98.33157833333334"
"VDC","VDC32226","19.3348766666666663 , 100.134691666666669"
"VDC","VDC32227","0 , 0"
"VDC","VDC32231","14.5506666666666664 , 100.921395000000004"
"VDC","VDC32232","13.5900133333333315 , 99.8203133333333454"
"VDC","VDC32342","0 , 0"
"VDC","VDC32373","6.3862199999999989 , 101.810824999999994"
"VDC","VDC32406","6.51939833333333318 , 101.279031666666683"
