"entity","device","service_product","count"
"VDC","VDC6335","AIRPAYWALLET",216
"VDC","VDC6335","AIS",216
"VDC","VDC6335","GSBDEPOSITONLINE",216
"VDC","VDC6335","AISPROSERM",216
"VDC","VDC6335","TRUEPROSERM",216
"VDC","VDC6335","TRUE",216
"VDC","VDC6335","TMNTOPUP",216
"VDC","VDC6335","MYCAT",216
"VDC","VDC53944","TMNEPIN",204
"VDC","VDC53944","SCBDEPOSIT",204
"VDC","VDC53944","KTBDEPOSIT",204
"VDC","VDC53944","KBANKDEPOSIT",204
"VDC","VDC53944","DTACPROSERM",204
"VDC","VDC53944","DTAC",204
"VDC","VDC53944","AISPROSERM",204
"VDC","VDC53944","AIS",204
"VDC","VDC53944","TRUEPROSERM",204
"VDP","VFE790","น้ำดื่ม อุลตร้าแมน ขนาด 500ml.",204
"VDC","VDC53944","TRUE",204
"VDC","VDC53944","TMNTOPUP",204
"VDC","VDC5605","AIS",203
"VDC","VDC5605","DTACPROSERM",203
"VDC","VDC5605","DTAC",203
"VDC","VDC5605","AISPROSERM",203
"VDC","VDC5605","AISBILL",203
"VDC","VDC5605","MYCAT",203
"VDC","VDC5605","TRUE",203
"VDC","VDC5605","TMNTOPUP",203
"VDC","VDC5605","RABBITLINEPAY",203
"VDP","VFE1901","เอ็ม-150",198
"VDC","VDC30991","BAACDEPOSIT",196
"VDC","VDC30991","DTAC",196
"VDC","VDC30991","DTACPROSERM",196
"VDC","VDC30991","GSBDEPOSIT",196
"VDC","VDC30991","KBANKDEPOSIT",196
"VDC","VDC30991","KTBDEPOSIT",196
"VDC","VDC30991","SCBDEPOSIT",196
"VDC","VDC30991","TMNTOPUP",196
"VDC","VDC30991","TRUE",196
"VDC","VDC30991","TRUEPROSERM",196
"VDP","VFE1464","M-150 น้ำผึ้ง 150 มล.",196
"VDC","VDC30991","AISPROSERM",196
"VDC","VDC30991","AIS",196
"VDC","VDC30991","APLAY",196
"VDP","VFE1074","M-150 น้ำผึ้ง 150 มล.",192
"VDP","VFE1015","น้ำดื่ม อุลตร้าแมน ขนาด 500ml.",192
"VDP","VFE649","M-150 น้ำผึ้ง 150 มล.",189
"VDC","VDC60551","KTBDEPOSIT",187
"VDC","VDC60551","3BBONLINE",187
"VDC","VDC60551","AIS",187
"VDC","VDC60551","AISPROSERM",187
"VDC","VDC60551","BAACDEPOSIT",187
"VDC","VDC60551","BAYDEPOSIT",187
"VDC","VDC60551","DTAC",187
"VDC","VDC60551","DTACPOSTPAIDONLINE",187
"VDC","VDC60551","DTACPROSERM",187
"VDC","VDC60551","GSBDEPOSIT",187
"VDC","VDC60551","GSBDEPOSITONLINE",187
"VDC","VDC60551","KBANKDEPOSIT",187
"VDC","VDC60551","MYCAT",187
"VDC","VDC60551","PEA",187
"VDC","VDC60551","SCBDEPOSIT",187
"VDC","VDC60551","TMNEPIN",187
"VDC","VDC60551","TMNTOPUP",187
"VDC","VDC60551","TRUE",187
"VDC","VDC60551","TRUECONVERGENCE",187
"VDC","VDC60551","TRUEONLINE",187
"VDC","VDC60551","TRUEPOSTPAID",187
"VDC","VDC60551","TRUEPROSERM",187
"VDP","VFE1068","คาราบาวแดง",184
"VDC","VDC60527","DTAC",181
"VDC","VDC60527","AISPROSERM",181
"VDC","VDC60527","AIS",181
"VDC","VDC60527","AIRPAYWALLET",181
"VDC","VDC60527","DTACPROSERM",181
"VDC","VDC60527","KBANKDEPOSIT",181
"VDC","VDC60527","KTBDEPOSIT",181
"VDC","VDC60527","MYCAT",181
"VDC","VDC60527","PEA",181
"VDC","VDC60527","TMNTOPUP",181
"VDC","VDC60527","TRIPLETBB",181
"VDC","VDC60527","TRUE",181
"VDC","VDC60527","TRUEPROSERM",181
"VDC","VDC60527","3BBONLINE",181
"VDP","VFE556","เครื่องดื่มเจลลี่รสสตรอเบอร์รี่6.11",180
"VDP","VFE556","เป๊ปซี่ สลิม 245 มล.",180
"VDP","VFE556","โค้ก-สลิม",180
